Iteration	Posterior	Likelihood	Prior	q_01	q_10	root_frequencies[1]	root_frequencies[2]
76	-45.77226	-47.90957	2.137305	0.05710794	0.1095103	0.39506	0.60494
77	-45.67732	-47.81463	2.137305	0.05710794	0.1095103	0.829421	0.170579
78	-49.00022	-49.67544	0.675226	0.1121695	0.1677699	0.400522	0.599478
79	-47.03151	-48.14952	1.118012	0.07670812	0.1707141	0.506873	0.493127
80	-46.51221	-48.08035	1.568145	0.07364979	0.1349448	0.506873	0.493127
81	-50.40299	-51.65859	1.2556	0.1204198	0.1094763	0.410274	0.589726
82	-48.82006	-49.12925	0.3091889	0.1025067	0.2135507	0.882136	0.117864
83	-48.82062	-49.12981	0.3091889	0.1025067	0.2135507	0.798733	0.201267
84	-48.39799	-49.11376	0.7157666	0.1025067	0.1752723	0.138905	0.861095
85	-48.00077	-49.49067	1.489899	0.09563183	0.1159084	0.470663	0.529337
86	-47.87209	-49.10858	1.236489	0.09563183	0.1370184	0.0907286	0.909271
87	-49.1846	-49.2439	0.05930189	0.09337583	0.2498073	0.200067	0.799933
88	-49.18358	-49.24288	0.05930189	0.09337583	0.2498073	0.923409	0.0765906
89	-46.40685	-48.03298	1.626123	0.07089973	0.1335139	0.218712	0.781288
90	-46.48288	-48.50198	2.019104	0.07089973	0.1016179	0.0953457	0.904654
91	-46.31887	-48.07207	1.753196	0.07089973	0.1228748	0.560161	0.439839
92	-45.78522	-47.80291	2.017692	0.0544369	0.1228748	0.462141	0.537859
93	-46.79161	-48.14233	1.350715	0.0544369	0.1815468	0.0398202	0.96018
94	-47.51612	-48.37183	0.8557121	0.0682689	0.2070275	0.870382	0.129618
95	-46.65629	-48.11829	1.462006	0.0751824	0.1421127	0.222183	0.777817
96	-46.06575	-48.03673	1.970979	0.04449843	0.1421127	0.498824	0.501176
97	-47.20681	-48.96202	1.75521	0.03079541	0.1881025	0.469653	0.530347
98	-46.57531	-48.07271	1.497401	0.05226827	0.1715305	0.125435	0.874565
99	-46.19147	-48.3161	2.124628	0.0653281	0.1000948	0.125435	0.874565
100	-46.51223	-49.10419	2.591966	0.06165753	0.07078619	0.203803	0.796197
101	-47.41215	-49.79724	2.385088	0.07511152	0.07078619	0.253383	0.746617
102	-46.53909	-48.31717	1.778078	0.07511152	0.115714	0.573884	0.426116
103	-46.12601	-47.81585	1.689838	0.06092126	0.1414225	0.449493	0.550507
104	-45.8125	-47.88491	2.072414	0.05819107	0.113244	0.403015	0.596985
105	-46.89249	-48.08946	1.19697	0.07422026	0.1668549	0.213437	0.786563
106	-46.54504	-48.17654	1.631498	0.07422026	0.128877	0.203362	0.796638
107	-46.73669	-48.13981	1.403119	0.05280807	0.1793164	0.66525	0.33475
108	-45.70342	-47.92653	2.223109	0.05763255	0.1021021	0.692557	0.307443
109	-45.76052	-47.98363	2.223109	0.05763255	0.1021021	0.482134	0.517866
110	-45.53733	-47.91239	2.375063	0.04892315	0.1021021	0.623296	0.376704
111	-45.60051	-47.90782	2.307309	0.05271142	0.1021021	0.590802	0.409198
112	-46.19836	-48.3994	2.201034	0.03662224	0.136155	0.409198	0.590802
113	-47.2667	-48.68028	1.413579	0.04155358	0.1980077	0.445824	0.554176
114	-47.40673	-48.76561	1.358878	0.04155358	0.2032005	0.700977	0.299023
115	-45.48504	-48.24984	2.764797	0.04155358	0.08359345	0.700977	0.299023
116	-47.04833	-48.56529	1.516955	0.04155358	0.1882834	0.730835	0.269165
117	-47.02407	-48.54103	1.516955	0.04155358	0.1882834	0.0329181	0.967082
118	-47.05703	-48.57399	1.516955	0.04155358	0.1882834	0.977125	0.0228754
119	-46.08535	-47.921	1.835649	0.04847082	0.1473869	0.995133	0.00486707
120	-46.57699	-47.939	1.362006	0.06212736	0.1687724	0.998903	0.0010965
121	-46.83693	-49.19465	2.357718	0.02422654	0.149108	0.00710013	0.9929
122	-47.55861	-50.30248	2.743879	0.01128846	0.1579328	0.982312	0.0176884
123	-47.18469	-49.62963	2.444942	0.01832813	0.1579328	0.799042	0.200958
124	-47.87453	-49.50343	1.628897	0.02509325	0.2141738	0.157748	0.842252
125	-47.63459	-48.75585	1.121262	0.04795305	0.2141738	0.779953	0.220047
126	-46.47653	-47.97761	1.501073	0.05480554	0.1671848	0.763169	0.236831
127	-45.80894	-47.77793	1.968986	0.0528762	0.1291865	0.688501	0.311499
128	-46.09674	-47.87321	1.776472	0.0528762	0.1456631	0.178444	0.821556
129	-45.40572	-48.18349	2.777763	0.0407445	0.08383404	0.90352	0.0964799
130	-45.77265	-48.63434	2.861694	0.0407445	0.07793412	0.27674	0.72326
131	-46.55851	-49.00905	2.450547	0.06389654	0.07793412	0.0321057	0.967894
132	-45.59357	-47.98488	2.391309	0.04618916	0.104781	0.432028	0.567972
133	-46.50294	-48.16952	1.66658	0.04618916	0.166216	0.0866482	0.913352
134	-46.24954	-48.24034	1.990795	0.0706416	0.1041142	0.913352	0.0866482
135	-45.765	-47.95223	2.187238	0.044628	0.1235915	0.562425	0.437575
136	-46.03417	-47.88428	1.850114	0.06278134	0.1252913	0.293344	0.706656
