Species,Order,Bodymass,Longevity,Gestationength
Tragelaphus_strepsiceros,Artiodactyla,206056.41,23,228
Tragelaphus_eurycerus,Artiodactyla,270998.37,21.9,288
Tragelaphus_spekii,Artiodactyla,75554.25,22.6,242
Tragelaphus_scriptus,Artiodactyla,43250.39,15.3,188
Bos_sauveli,Artiodactyla,791321.76,20,260
Bison_bison,Artiodactyla,624577.07,40,285
Bos_grunniens,Artiodactyla,500000,25,274
Bison_bonasus,Artiodactyla,675876.7,28,270
Bos_frontalis,Artiodactyla,800143.05,26.2,275
Bos_javanicus,Artiodactyla,635974.34,26,295
Bos_taurus,Artiodactyla,618642.42,20,277
Syncerus_caffer,Artiodactyla,700000,31,346
Bubalus_mindorensis,Artiodactyla,254389.74,28,300
Bubalus_depressicornis,Artiodactyla,256989.27,31,300
Bubalus_quarlesi,Artiodactyla,181718.86,29.2,295
Pantholops_hodgsonii,Artiodactyla,40733.12,45,240
Rupicapra_rupicapra,Artiodactyla,33266.35,22,122
Ammotragus_lervia,Artiodactyla,94202.22,20.9,149
Oreamnos_americanus,Artiodactyla,72105.4,20,184
Ovis_ammon,Artiodactyla,113998.72,20,170
Ovis_aries,Artiodactyla,90000,22.8,159.9
Ovis_dalli,Artiodactyla,70194.13,19.6,173
Ovis_canadensis,Artiodactyla,74644.87,19,180
Capra_pyrenaica,Artiodactyla,60898.77,16,165
Capra_ibex,Artiodactyla,69546.83,21.25,169
Capra_nubiana,Artiodactyla,47763.72,17,150
Capra_cylindricornis,Artiodactyla,50000,22,161
Capra_caucasica,Artiodactyla,140000,22,159.9
Capra_falconeri,Artiodactyla,54303.37,13,163
Capra_hircus,Artiodactyla,47386.47,22,155
Hemitragus_jemlahicus,Artiodactyla,68616.43,22,183
Capra_sibirica,Artiodactyla,130000,22,175
Budorcas_taxicolor,Artiodactyla,294515.33,15.8,210
Pseudois_nayaur,Artiodactyla,52334.57,15,160
Ovibos_moschatus,Artiodactyla,312500,20,258
Capricornis_sumatraensis,Artiodactyla,110942.22,18.5,213
Capricornis_crispus,Artiodactyla,43030.64,10,215
Naemorhedus_goral,Artiodactyla,28796.51,15,215
Naemorhedus_baileyi,Artiodactyla,28863.45,19,213
Connochaetes_taurinus,Artiodactyla,198619.68,24.3,253
Connochaetes_gnou,Artiodactyla,156547.53,20,259
Alcelaphus_buselaphus,Artiodactyla,160937.86,19,247
Beatragus_hunteri,Artiodactyla,79132.17,10.2,283
Damaliscus_pygargus,Artiodactyla,77784.55,23,243
Damaliscus_lunatus,Artiodactyla,136000.33,15,238
Addax_nasomaculatus,Artiodactyla,96077.36,25,282
Oryx_dammah,Artiodactyla,199798.95,27.5,247
Oryx_leucoryx,Artiodactyla,75788.24,20.8,243
Oryx_gazella,Artiodactyla,188404.45,22,270
Hippotragus_niger,Artiodactyla,236405.9,22,271
Hippotragus_equinus,Artiodactyla,264173.96,17,284
Neotragus_pygmaeus,Artiodactyla,3913.68,11.1,183
Oreotragus_oreotragus,Artiodactyla,13486.55,18,196
Philantomba_monticola,Artiodactyla,4896.05,16,193
Philantomba_maxwellii,Artiodactyla,8557.69,18,120
Cephalophus_zebra,Artiodactyla,15654.75,17.8,227
Sylvicapra_grimmia,Artiodactyla,15639.15,14.3,165
Cephalophus_silvicultor,Artiodactyla,62006.6,22.5,165
Cephalophus_dorsalis,Artiodactyla,20000,17.5,236
Cephalophus_rufilatus,Artiodactyla,12114.57,15,230
Cephalophus_natalensis,Artiodactyla,12724.51,15.2,213
Cephalophus_niger,Artiodactyla,19094.32,14.8,128
Ourebia_ourebi,Artiodactyla,17186.09,14,193
Procapra_gutturosa,Artiodactyla,28274.27,12,185
Madoqua_kirkii,Artiodactyla,4833.4,17.3,172
Madoqua_guentheri,Artiodactyla,4623.7,17.5,178
Raphicerus_campestris,Artiodactyla,11661.53,9.3,197
Saiga_tatarica,Artiodactyla,37734.01,12,152
Antidorcas_marsupialis,Artiodactyla,33571.24,19,168
Litocranius_walleri,Artiodactyla,38804.37,13,204
Nanger_granti,Artiodactyla,55464.46,12,196
Nanger_dama,Artiodactyla,71424.81,19,208
Nanger_soemmerringii,Artiodactyla,41582.93,15.5,190
Eudorcas_rufifrons,Artiodactyla,26999.77,14.5,175
Eudorcas_thomsonii,Artiodactyla,22907.43,10.5,170
Gazella_subgutturosa,Artiodactyla,26981.37,20,175
Gazella_bennettii,Artiodactyla,18916.67,12.3,165
Gazella_leptoceros,Artiodactyla,24645.75,14.6,176
Gazella_cuvieri,Artiodactyla,25000,17.9,171
Gazella_gazella,Artiodactyla,21306.83,15,180
Gazella_dorcas,Artiodactyla,15635.95,15,182
Antilope_cervicapra,Artiodactyla,36301.1,15,168
Redunca_redunca,Artiodactyla,43288.95,18,228
Redunca_arundinum,Artiodactyla,58059.24,10,224
Redunca_fulvorufula,Artiodactyla,29352.66,12,216
Kobus_ellipsiprymnus,Artiodactyla,204393.48,18,264
Kobus_kob,Artiodactyla,80035.21,17,251
Kobus_vardonii,Artiodactyla,71462.72,17,258.09
Kobus_leche,Artiodactyla,88645.04,15,229
Kobus_megaceros,Artiodactyla,85805.93,19,235
Pelea_capreolus,Artiodactyla,22731.33,10,261
Aepyceros_melampus,Artiodactyla,52591.69,17.4,198
Neotragus_batesi,Artiodactyla,2967.45,14,181.24
Moschus_chrysogaster,Artiodactyla,13697.9,17,188
Moschus_leucogaster,Artiodactyla,2145.93,14,195
Moschus_moschiferus,Artiodactyla,13315.57,12,162
Giraffa_camelopardalis,Artiodactyla,964654.73,27,457
Okapia_johnstoni,Artiodactyla,270001.14,30,458
Antilocapra_americana,Artiodactyla,70000,11,250
Babyrousa_babyrussa,Artiodactyla,92950.09,24,156
Phacochoerus_aethiopicus,Artiodactyla,75607.52,18,165.4
Hylochoerus_meinertzhageni,Artiodactyla,198130.47,18,132
Phacochoerus_africanus,Artiodactyla,82499.99,20.9,164
Sus_scrofa,Artiodactyla,84471.54,27,115
Sus_cebifrons,Artiodactyla,190792.3,15,125.14
Sus_barbatus,Artiodactyla,135805.95,16.2,122
Sus_verrucosus,Artiodactyla,89406.23,14,120
Potamochoerus_porcus,Artiodactyla,70000.31,20,122
Potamochoerus_larvatus,Artiodactyla,69063.79,20,122
Catagonus_wagneri,Artiodactyla,35566.4,14,152
Tayassu_pecari,Artiodactyla,31798.71,13.3,158
Nandinia_binotata,Carnivora,2167.2,21,64
Panthera_tigris,Carnivora,161914.66,26,105
Panthera_onca,Carnivora,83943.09,28,99
Panthera_pardus,Carnivora,52399.99,27,97
Panthera_leo,Carnivora,158623.93,30,109
Neofelis_nebulosa,Carnivora,14945.05,17,89
Prionailurus_planiceps,Carnivora,3533.76,14,56
Prionailurus_viverrinus,Carnivora,8826.46,12,72
Prionailurus_bengalensis,Carnivora,2780.97,20,62
Leopardus_tigrinus,Carnivora,2250,23,75
Leopardus_guigna,Carnivora,5157.94,11,78
Leopardus_wiedii,Carnivora,3270.81,20,81
Leopardus_pardalis,Carnivora,11880,21.5,77
Felis_nigripes,Carnivora,1362.77,15.6,66
Felis_chaus,Carnivora,7157.99,20,60
Felis_margarita,Carnivora,2823.36,13,67
Felis_silvestris,Carnivora,4573.08,30,64
Felis_catus,Carnivora,2884.8,14,65
Lynx_rufus,Carnivora,6374.47,32,65
Lynx_lynx,Carnivora,19300,24,66
Lynx_pardinus,Carnivora,11050,13,68
Lynx_canadensis,Carnivora,9682.82,26.75,63
Acinonyx_jubatus,Carnivora,50577.92,19,88
Puma_concolor,Carnivora,53954.05,20,92
Pardofelis_marmorata,Carnivora,2826.68,12.25,82
Catopuma_temminckii,Carnivora,7726.46,23,95
Leptailurus_serval,Carnivora,11999.96,22.4,70
Caracal_caracal,Carnivora,11964.38,20.3,74
Genetta_genetta,Carnivora,1756.17,21.6,78
Genetta_tigrina,Carnivora,2566.57,21,70
Viverra_zibetha,Carnivora,9148.77,20,80
Civettictis_civetta,Carnivora,12075.58,28,65
Arctictis_binturong,Carnivora,12999.99,25,92
Paguma_larvata,Carnivora,4300,20,90
Paradoxurus_hermaphroditus,Carnivora,3200,24.5,60
Arctogalidia_trivirgata,Carnivora,2323.79,16.08,45
Hyaena_brunnea,Carnivora,42977.93,13,92
Hyaena_hyaena,Carnivora,35070.51,24,90
Crocuta_crocuta,Carnivora,63369.98,41,110
Proteles_cristata,Carnivora,8139.39,20,84
Fossa_fossana,Carnivora,1853.98,21.4,82
Galidia_elegans,Carnivora,810,13,72
Cryptoprocta_ferox,Carnivora,9500,20,90
Herpestes_ichneumon,Carnivora,2980.02,20,74
Cynictis_penicillata,Carnivora,694.41,15.2,56
Herpestes_javanicus,Carnivora,750,16,49
Atilax_paludinosus,Carnivora,3600.16,17,76
Helogale_parvula,Carnivora,281.83,10,55
Crossarchus_obscurus,Carnivora,1395.09,9,58
Mungos_mungo,Carnivora,1260,11,60
Suricata_suricatta,Carnivora,729.99,12,77
Ailuropoda_melanoleuca,Carnivora,137999.99,34,130
Ursus_arctos,Carnivora,277500,43,180
Ursus_maritimus,Carnivora,371703.81,45,190
Melursus_ursinus,Carnivora,130000,40,130
Helarctos_malayanus,Carnivora,57075.78,33,120
Ursus_americanus,Carnivora,110500,35,180
Ursus_thibetanus,Carnivora,99714.19,35,170
Callorhinus_ursinus,Pinnipeds,55464.82,26,240
Eumetopias_jubatus,Pinnipeds,382466.74,30,274
Zalophus_californianus,Pinnipeds,137194.86,31,259
Arctocephalus_pusillus,Pinnipeds,178500,18,368
Phocarctos_hookeri,Pinnipeds,273499.99,23,365
Neophoca_cinerea,Pinnipeds,189274.99,24.1,258
Arctocephalus_forsteri,Pinnipeds,101249.99,23.1,236
Arctocephalus_galapagoensis,Pinnipeds,60448.04,16,213
Arctocephalus_gazella,Pinnipeds,96599.99,25,257
Arctocephalus_tropicalis,Pinnipeds,92222.55,19,357
Odobenus_rosmarus,Pinnipeds,1042996.25,40,331
Erignathus_barbatus,Pinnipeds,279999.99,31,259
Cystophora_cristata,Pinnipeds,278896.81,35,240
Phoca_largha,Pinnipeds,98879.18,35,319
Phoca_vitulina,Pinnipeds,87316.66,47.6,253
Halichoerus_grypus,Pinnipeds,197570.01,46,240
Pusa_caspica,Pinnipeds,62326.2,50,330
Pusa_hispida,Pinnipeds,70963.6,43,251
Histriophoca_fasciata,Pinnipeds,90000,30,274
Pagophilus_groenlandicus,Pinnipeds,132250,35,228
Mirounga_leonina,Pinnipeds,1600000,23,220
Mirounga_angustirostris,Pinnipeds,1112390.81,20.25,252
Hydrurga_leptonyx,Pinnipeds,352675.48,30,274
Ommatophoca_rossii,Pinnipeds,208252.12,21,228
Leptonychotes_weddellii,Pinnipeds,400000,25,304
Monachus_monachus,Pinnipeds,294881.33,23.7,289
Conepatus_leuconotus,Carnivora,3293.91,14,56
Mephitis_mephitis,Carnivora,2399.99,10,63
Spilogale_putorius,Carnivora,566.49,10.5,60
Taxidea_taxus,Carnivora,10842.15,26,42
Arctonyx_collaris,Carnivora,8166.52,15.8,42
Meles_meles,Carnivora,11884.03,19,49
Eira_barbara,Carnivora,4134.99,18,66
Martes_pennanti,Carnivora,3750,10,45
Martes_martes,Carnivora,1299.99,17,35
Martes_zibellina,Carnivora,1173.91,18,45
Gulo_gulo,Carnivora,12792.49,19.5,50
Lontra_canadensis,Carnivora,8087.42,21,62
Lutra_lutra,Carnivora,8868.69,22,61
Lutrogale_perspicillata,Carnivora,8912.49,20,63
Aonyx_cinerea,Carnivora,3527.59,16,63.31
Aonyx_capensis,Carnivora,19322.22,16,63
Pteronura_brasiliensis,Carnivora,26000,12.8,68
Ictonyx_striatus,Carnivora,811.02,13.3,36
Vormela_peregusna,Carnivora,594.13,8.9,61
Galictis_vittata,Carnivora,3200,10.5,40
Galictis_cuja,Carnivora,1000,10.2,40
Mustela_erminea,Carnivora,284.5,12.5,43
Mustela_sibirica,Carnivora,730.85,9,29
Mustela_lutreola,Carnivora,566.44,10,54
Mustela_nigripes,Carnivora,907.1,12,43
Mustela_putorius,Carnivora,975.55,14,42
Mustela_nivalis,Carnivora,190,10,36
Neovison_vison,Carnivora,1150,10,42
Mellivora_capensis,Carnivora,8999.99,31.3,70
Potos_flavus,Carnivora,3441.81,38,115
Procyon_cancrivorus,Carnivora,6931.72,14,63
Procyon_lotor,Carnivora,6373.72,21,63
Bassariscus_astutus,Carnivora,1010.37,16,52
Bassariscus_sumichrasti,Carnivora,906,23,64
Nasua_nasua,Carnivora,3775.5,17.5,73
Nasua_narica,Carnivora,4578.43,14,78
Bassaricyon_gabbii,Carnivora,1250,25,73
Ailurus_fulgens,Carnivora,5770.08,19,130
Otocyon_megalotis,Carnivora,4098.12,14,68
Nyctereutes_procyonoides,Carnivora,4214.99,14,61
Speothos_venaticus,Carnivora,6324.54,10.3,68
Cerdocyon_thous,Carnivora,5741.66,11,55
Canis_adustus,Carnivora,10392.49,10,64
Cuon_alpinus,Carnivora,15800,16,61
Canis_rufus,Carnivora,22983.17,14,62
Canis_latrans,Carnivora,11989.1,18,63
Canis_aureus,Carnivora,9658.7,16,63
Canis_lupus,Carnivora,31756.51,20,62
Canis_simensis,Carnivora,14361.86,12,63.61
Canis_mesomelas,Carnivora,8247.3,14,60
Chrysocyon_brachyurus,Carnivora,23325,13,64
Lycaon_pictus,Carnivora,21999.99,17,72
Vulpes_macrotis,Carnivora,4499.97,12,54
Urocyon_cinereoargenteus,Carnivora,3833.71,12,57
Vulpes_velox,Carnivora,2088,14,55
Vulpes_lagopus,Carnivora,3584.37,16.3,52
Vulpes_zerda,Carnivora,1317.13,12,51
Vulpes_cana,Carnivora,988.5,10,55
Vulpes_chama,Carnivora,2919.8,10,51
Vulpes_corsac,Carnivora,2615.33,13,53
Vulpes_ferrilata,Carnivora,5543.74,10,54.23
Vulpes_vulpes,Carnivora,4820.36,12,52
Vulpes_pallida,Carnivora,2800.01,10,52
Tapirus_indicus,Perissodactyla,311209.19,36.5,396.5
Tapirus_bairdii,Perissodactyla,293781.59,29.6,396.24
Tapirus_pinchaque,Perissodactyla,156923.4,28.5,398
Tapirus_terrestris,Perissodactyla,169496.64,35,398
Ceratotherium_simum,Perissodactyla,2285939.43,50,515
Diceros_bicornis,Perissodactyla,995940.54,45,474
Dicerorhinus_sumatrensis,Perissodactyla,1046156.04,32.7,236
Rhinoceros_unicornis,Perissodactyla,1843655.8,47,479
Rhinoceros_sondaicus,Perissodactyla,1750000,40,502
Equus_zebra,Perissodactyla,282462.13,29.5,362
Equus_grevyi,Perissodactyla,408000.35,30,406
Equus_quagga,Perissodactyla,400000,40,365
Equus_hemionus,Perissodactyla,235248.07,31.6,339
Equus_kiang,Perissodactyla,281138.63,30.1,299
Equus_caballus,Perissodactyla,403598.53,61,337
Solenodon_paradoxus,Eulipotyphla,899.99,11,50
Suncus_etruscus,Eulipotyphla,2.26,3,27
Suncus_murinus,Eulipotyphla,43.76,2.5,30
Crocidura_russula,Eulipotyphla,9.89,2.5,29
Crocidura_leucodon,Eulipotyphla,10.88,4,30
Crocidura_suaveolens,Eulipotyphla,7.35,4,27
Neomys_fodiens,Eulipotyphla,15.26,1.6,20
Neomys_anomalus,Eulipotyphla,13.19,2,26
Cryptotis_parva,Eulipotyphla,4.97,1.75,21
Blarina_hylophaga,Eulipotyphla,14.49,2.75,23
Blarina_brevicauda,Eulipotyphla,18.56,3,17
Blarina_carolinensis,Eulipotyphla,11.91,2.75,30
Sorex_palustris,Eulipotyphla,13.07,1.5,23
Sorex_ornatus,Eulipotyphla,5.31,1.5,21
Sorex_vagrans,Eulipotyphla,5.99,1.5,20
Sorex_fumeus,Eulipotyphla,7.83,1.5,21
Sorex_cinereus,Eulipotyphla,4.2,2,19
Sorex_alpinus,Eulipotyphla,8.04,1.33,21
Sorex_minutus,Eulipotyphla,4.32,1.33,24
Sorex_tundrensis,Eulipotyphla,7.65,1.5,28
Sorex_araneus,Eulipotyphla,9.18,2,21
Sorex_coronatus,Eulipotyphla,9.32,1.67,23
Sorex_arcticus,Eulipotyphla,8.19,1.5,17
Echinosorex_gymnura,Eulipotyphla,756.53,4.5,37
Erinaceus_europaeus,Eulipotyphla,777.95,11.7,30
Paraechinus_aethiopicus,Eulipotyphla,352.4,4.5,37
Hemiechinus_auritus,Eulipotyphla,322.04,6.8,39
Atelerix_albiventris,Eulipotyphla,293.44,11.4,35
Atelerix_frontalis,Eulipotyphla,329.12,7,37
Galemys_pyrenaicus,Eulipotyphla,60.17,3.5,30
Scapanus_orarius,Eulipotyphla,62.13,4,40
Scalopus_aquaticus,Eulipotyphla,87.15,3,36
Parascalops_breweri,Eulipotyphla,51.11,4,35
Condylura_cristata,Eulipotyphla,48.15,2,40
Talpa_europaea,Eulipotyphla,87.53,5,28
Dasypus_novemcinctus,Cingulata,3949.01,23,133
Zaedyus_pichiy,Cingulata,1444.76,9,60
Euphractus_sexcinctus,Cingulata,4731.16,18.8,68
Chaetophractus_villosus,Cingulata,4372.8,30,67
Tolypeutes_matacus,Cingulata,1303.47,36,120
Priodontes_maximus,Cingulata,40641.89,15,122
Choloepus_hoffmanni,Pilosa,5893.5,32,350
Choloepus_didactylus,Pilosa,6646.5,27.8,279
Bradypus_tridactylus,Pilosa,4375.8,40,141
Bradypus_variegatus,Pilosa,4136.36,40,170.84
Bradypus_torquatus,Pilosa,4468.42,20,150
Cyclopes_didactylus,Pilosa,263.95,2.3,135
Myrmecophaga_tridactyla,Pilosa,29531.83,25,184
Tamandua_tetradactyla,Pilosa,4800,9,160
Setifer_setosus,Afrosoricida,263.22,10.58,54
Echinops_telfairi,Afrosoricida,152.25,13,55
Hemicentetes_semispinosus,Afrosoricida,134,2.5,59
Tenrec_ecaudatus,Afrosoricida,887.59,4.92,58
Microgale_talazaci,Afrosoricida,43.07,5.8,61
Geogale_aurita,Afrosoricida,6.69,2.5,63
