Iteration	Posterior	Likelihood	Prior	q_01	q_10	root_frequencies[1]	root_frequencies[2]
0	-60.57133	-66.16309	5.591759	0.003637256	0.01775207	0.579446	0.420554
1	-57.30422	-62.69535	5.391124	0.006088463	0.01573168	0.470374	0.529626
2	-56.83821	-62.29665	5.458432	0.00621567	0.01385357	0.931772	0.0682281
3	-51.69763	-56.50632	4.808692	0.01172556	0.02171942	0.705971	0.294029
4	-50.23465	-54.75403	4.519388	0.01833835	0.02212515	0.22618	0.77382
5	-49.06311	-53.60859	4.545484	0.02114057	0.01846847	0.515546	0.484454
6	-46.81711	-50.87256	4.055452	0.04095783	0.01846847	0.863547	0.136453
7	-48.36567	-52.02292	3.657245	0.06335483	0.01846847	0.708088	0.291912
8	-48.69761	-52.32253	3.624922	0.06539948	0.01846847	0.627136	0.372864
9	-45.82248	-48.96253	3.140047	0.04305417	0.0570149	0.627136	0.372864
10	-45.71503	-48.90815	3.193125	0.04040387	0.0570149	0.745407	0.254593
11	-45.86972	-48.88019	3.010462	0.04994176	0.0570149	0.743902	0.256098
12	-45.90513	-49.06029	3.155158	0.04401699	0.05501636	0.596964	0.403036
13	-46.11271	-49.28006	3.167344	0.04339149	0.05501636	0.403036	0.596964
14	-46.74911	-50.46004	3.710927	0.02929301	0.04229617	0.517841	0.482159
15	-46.65006	-50.22256	3.572499	0.02929301	0.04960266	0.434227	0.565773
16	-46.28395	-49.91069	3.626744	0.04215088	0.03290021	0.821233	0.178767
17	-46.4675	-50.30275	3.835252	0.03246186	0.03290021	0.821233	0.178767
18	-47.69825	-51.43759	3.739341	0.04780312	0.02428923	0.29676	0.70324
19	-47.51733	-51.88477	4.367438	0.03773499	0.01245989	0.592737	0.407263
20	-48.8341	-53.69313	4.85903	0.02545081	0.00891508	0.592737	0.407263
21	-48.21465	-52.68154	4.466894	0.04988706	0.006942893	0.529757	0.470243
22	-47.58911	-51.97322	4.384118	0.03970732	0.01130323	0.57314	0.42686
23	-46.28699	-50.08798	3.800992	0.03970732	0.02781904	0.989217	0.0107835
24	-46.05126	-49.53945	3.488187	0.03970732	0.04163976	0.769328	0.230672
25	-47.40318	-50.83688	3.433708	0.05129097	0.03382983	0.281816	0.718184
26	-46.54098	-50.11371	3.572734	0.04548512	0.03243476	0.674626	0.325374
27	-46.79408	-50.36682	3.572734	0.04548512	0.03243476	0.501639	0.498361
28	-46.40731	-49.28176	2.874449	0.05965509	0.05518904	0.743393	0.256607
29	-45.80912	-48.92352	3.114404	0.04599045	0.05518904	0.731772	0.268228
30	-47.1711	-50.46508	3.293977	0.05196976	0.03972377	0.268228	0.731772
31	-45.89057	-48.95212	3.061545	0.03702607	0.06969634	0.369326	0.630674
32	-45.98677	-48.80399	2.81722	0.04943624	0.06969634	0.260227	0.739773
33	-45.726	-47.86575	2.139744	0.04762835	0.1228339	0.578661	0.421339
34	-45.606	-48.02133	2.415328	0.04762835	0.1008344	0.350161	0.649839
35	-46.20388	-49.54156	3.337678	0.02760262	0.06622244	0.743961	0.256039
36	-45.6937	-48.86146	3.167759	0.043086	0.0553423	0.814115	0.185885
37	-46.75275	-49.9221	3.169356	0.04854442	0.04936956	0.185885	0.814115
38	-46.64834	-49.92848	3.280137	0.04271801	0.04936956	0.185885	0.814115
39	-45.92972	-49.20796	3.278236	0.04281438	0.04936956	0.696014	0.303986
40	-45.704	-49.07407	3.370071	0.03830846	0.04936956	0.955431	0.0445685
41	-46.43715	-49.57715	3.140003	0.03035194	0.07467896	0.0445685	0.955431
42	-45.37256	-48.16602	2.79346	0.04475967	0.07717168	0.955431	0.0445685
43	-45.83929	-47.90408	2.064788	0.05508958	0.1180926	0.000451904	0.999548
44	-45.90061	-48.20622	2.30561	0.04026775	0.1209615	0.0233677	0.976632
45	-45.83382	-48.13943	2.30561	0.04026775	0.1209615	0.482134	0.517866
46	-46.25205	-48.46355	2.211503	0.03573648	0.1369151	0.284145	0.715855
47	-45.95526	-47.88504	1.929775	0.06409804	0.1170227	0.823268	0.176732
48	-46.22125	-48.05813	1.836883	0.04606202	0.1512167	0.1214	0.8786
49	-45.45009	-47.9795	2.529405	0.04606202	0.09439613	0.765439	0.234561
50	-45.51332	-48.07026	2.556939	0.04345867	0.09608814	0.618441	0.381559
51	-46.22919	-47.87484	1.645652	0.0563061	0.1519616	0.0983908	0.901609
52	-45.86175	-47.79591	1.934161	0.05334992	0.1314221	0.524418	0.475582
53	-45.8267	-48.44061	2.613909	0.05334992	0.07874139	0.401571	0.598429
54	-45.64526	-48.03093	2.385673	0.05334992	0.09527381	0.495494	0.504506
55	-45.89954	-48.12779	2.228251	0.0410545	0.1260363	0.341057	0.658943
56	-45.69103	-47.89234	2.201309	0.05451295	0.1079372	0.447915	0.552085
57	-47.15869	-48.24678	1.088093	0.08019788	0.1688584	0.116277	0.883723
58	-47.76845	-48.73265	0.9641971	0.0533187	0.2200595	0.748786	0.251214
59	-49.57088	-49.51917	-0.05171102	0.1083539	0.2414898	0.884219	0.115781
60	-48.75885	-49.00505	0.246203	0.0858102	0.2414898	0.303263	0.696737
61	-46.07494	-47.82519	1.750249	0.06378845	0.1323198	0.707864	0.292136
62	-46.07823	-48.32853	2.2503	0.06378845	0.09243767	0.454794	0.545206
63	-46.24344	-47.85189	1.608455	0.06378845	0.1444843	0.378811	0.621189
64	-48.25197	-49.00427	0.7523064	0.1003438	0.174494	0.562563	0.437437
65	-48.42428	-48.81274	0.388455	0.08550581	0.2279208	0.462589	0.537411
66	-47.7835	-48.5034	0.7198977	0.07113971	0.2158811	0.49989	0.50011
67	-47.96812	-48.9442	0.9760771	0.04911147	0.2261913	0.49989	0.50011
68	-49.27345	-49.8612	0.5877499	0.04911147	0.2647057	0.387675	0.612325
69	-49.28201	-49.86976	0.5877499	0.04911147	0.2647057	0.871845	0.128155
70	-48.86308	-49.07337	0.2102906	0.09594293	0.2315077	0.0483505	0.95165
71	-51.50117	-50.72778	-0.7733946	0.1334313	0.283288	0.934288	0.0657121
72	-49.70397	-49.56009	-0.1438778	0.1045882	0.2554275	0.039739	0.960261
73	-52.63858	-51.42464	-1.213936	0.1444989	0.3153779	0.960261	0.039739
74	-51.3596	-51.14066	-0.2189481	0.1444989	0.2153623	0.219647	0.780353
75	-52.32005	-52.95961	0.6395566	0.1465512	0.134803	0.360555	0.639445
76	-52.03728	-52.54192	0.5046341	0.1465512	0.1464352	0.879815	0.120185
77	-47.43263	-48.2965	0.8638738	0.07520766	0.1963481	0.879815	0.120185
78	-47.36559	-48.2964	0.9308126	0.0674815	0.2010261	0.150585	0.849415
79	-47.30071	-48.60311	1.3024	0.04561803	0.2010261	0.608185	0.391815
80	-45.92315	-47.77627	1.853122	0.05658755	0.1335843	0.608185	0.391815
81	-45.99999	-48.04054	2.040549	0.04432202	0.1364245	0.150277	0.849723
82	-45.70646	-48.03101	2.324557	0.04432202	0.1128836	0.236803	0.763197
83	-45.65678	-48.32301	2.666223	0.04341906	0.08803607	0.280743	0.719257
84	-46.60954	-48.77212	2.162582	0.03142963	0.1497281	0.288592	0.711408
85	-46.8426	-48.12331	1.280708	0.05724499	0.1836133	0.731693	0.268307
86	-48.0036	-49.09973	1.096126	0.09827064	0.1461363	0.703848	0.296152
87	-47.41399	-48.6682	1.254208	0.08918756	0.1429582	0.442546	0.557454
88	-48.20945	-48.71291	0.5034544	0.08918756	0.2118602	0.927768	0.0722319
89	-47.3053	-48.42431	1.119005	0.08545341	0.1593973	0.140929	0.859071
90	-47.95907	-48.70085	0.7417809	0.09321863	0.1841566	0.230057	0.769943
91	-47.48621	-48.48553	0.9993204	0.05736089	0.2100117	0.230057	0.769943
92	-48.63315	-49.01584	0.3826902	0.09968195	0.2100117	0.377042	0.622958
93	-48.21437	-49.49608	1.281706	0.09968195	0.1286732	0.213017	0.786983
94	-48.81074	-50.55412	1.743378	0.09968195	0.09207239	0.645423	0.354577
95	-48.94159	-51.37275	2.43116	0.08862041	0.05592119	0.896404	0.103596
96	-46.03814	-48.95678	2.918639	0.05625596	0.05592119	0.937051	0.062949
97	-46.87537	-48.98974	2.114373	0.07532025	0.08949101	0.333638	0.666362
98	-46.71392	-48.82829	2.114373	0.07532025	0.08949101	0.818723	0.181277
99	-48.2014	-50.86169	2.660298	0.07532025	0.05354144	0.261898	0.738102
100	-46.00098	-48.72322	2.722241	0.05815382	0.06604123	0.815935	0.184065
101	-45.66927	-48.18083	2.511562	0.05498638	0.08396218	0.709598	0.290402
102	-45.7332	-48.12723	2.39403	0.0405823	0.1132587	0.466011	0.533989
103	-45.54546	-47.97051	2.425053	0.04959579	0.09733615	0.576961	0.423039
104	-45.84209	-47.90689	2.064799	0.06099488	0.1101715	0.65495	0.34505
105	-45.48638	-48.31946	2.833074	0.04746793	0.07103573	0.881494	0.118506
106	-45.56034	-47.94651	2.386167	0.04746793	0.1033179	0.529835	0.470165
107	-45.58386	-47.97003	2.386167	0.04746793	0.1033179	0.44575	0.55425
108	-46.42765	-48.79894	2.371299	0.0673341	0.07970016	0.55425	0.44575
109	-45.7494	-48.18999	2.440591	0.04031202	0.1099805	0.273041	0.726959
110	-46.33497	-47.87071	1.535742	0.06283731	0.1521838	0.239773	0.760227
111	-46.50965	-47.93576	1.426109	0.06987247	0.1521838	0.760227	0.239773
112	-46.56457	-47.94911	1.384544	0.06987247	0.155866	0.678155	0.321845
113	-46.26354	-48.20251	1.938966	0.06987247	0.1091005	0.564448	0.435552
114	-47.41778	-48.35527	0.9374828	0.08303745	0.178969	0.0854188	0.914581
115	-46.75885	-48.26321	1.50436	0.04740168	0.178969	0.592889	0.407111
116	-48.049	-48.712	0.6630042	0.06633293	0.2285635	0.520785	0.479215
117	-47.95507	-48.56151	0.6064466	0.08255494	0.2108016	0.812751	0.187249
118	-47.52426	-48.45915	0.9348898	0.06076516	0.2108016	0.646552	0.353448
119	-45.86286	-47.8446	1.981743	0.05118699	0.1306213	0.294198	0.705802
120	-47.07955	-48.32184	1.242291	0.08234441	0.1523079	0.294198	0.705802
121	-45.95835	-48.36497	2.406622	0.0592561	0.0863494	0.387609	0.612391
122	-45.56337	-48.091	2.527626	0.05215065	0.0863494	0.717017	0.282983
123	-45.66928	-48.79711	3.127823	0.04013161	0.06131117	0.717017	0.282983
124	-46.58522	-50.31701	3.731789	0.02807089	0.04281525	0.717017	0.282983
125	-46.55434	-50.27735	3.723015	0.02841169	0.04281525	0.717017	0.282983
126	-46.89537	-50.63173	3.736359	0.0324304	0.03736965	0.407917	0.592083
127	-47.37254	-51.3341	3.961563	0.02552452	0.03508373	0.530269	0.469731
128	-47.41455	-51.34424	3.929686	0.02552452	0.03653224	0.469731	0.530269
129	-46.90088	-50.72215	3.82127	0.03991029	0.02688978	0.530269	0.469731
130	-47.36996	-50.09042	2.720453	0.07165428	0.05321243	0.806177	0.193823
131	-46.04182	-49.43229	3.390468	0.03424335	0.05321243	0.620054	0.379946
132	-46.0213	-49.38331	3.362007	0.03392464	0.0552808	0.612263	0.387737
133	-45.93662	-49.29428	3.357657	0.035815	0.05308267	0.671476	0.328524
134	-45.75201	-49.10966	3.357657	0.035815	0.05308267	0.877317	0.122683
