Pollinator,L.w_ratio,Length,Width,P1,P2,P3,P4,Selfing
flies,4.05,1.168,0.288,0,0,0,1,0
bees,3.04,1.221,0.402,0,0,0,1,0
autogamous,2.23,1.094,0.49,0,0,0,0,1
autogamous,3.16,0.661,0.209,0,0,0,0,1
hummingbird,8.65,2.815,0.326,1,0,0,0,0
bees and flies,2.58,1.574,0.61,0,0,0,1,0
bees,2.7,1.249,0.462,0,0,0,1,0
bees and flies,3.59,1.98,0.551,0,0,0,1,0
autogamous,3.29,0.828,0.252,0,0,0,0,1
bees,3.68,0.91,0.247,0,0,0,1,0
"hummingbird, bees and beeflies",4.58,1.457,0.318,1,0,1,1,0
beefly and bees,4.08,1.606,0.394,0,0,1,1,0
